"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";"F.Cu";"In1.Cu";"In2.Cu";"In3.Cu";"In4.Cu";"In5.Cu";"In6.Cu";"In7.Cu";"In8.Cu";"In9.Cu";"In10.Cu";"B.Cu";
001;"GND";652;675;978.0950 mm;590.2969 mm;81.8830 mm;1650.2749 mm;449.6627 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;140.6342 mm;
002;"/Debug FTDI/VBUS";8;0;0.0000 mm;17.9824 mm;0.0000 mm;17.9824 mm;17.9824 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
003;"/Debug FTDI/FTDI_VPLL";4;0;0.0000 mm;5.5231 mm;0.0000 mm;5.5231 mm;5.5231 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
004;"/Debug FTDI/FTDI_XI";3;0;0.0000 mm;6.7437 mm;0.0000 mm;6.7437 mm;6.7437 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
005;"/Debug FTDI/FTDI_VPHY";4;0;0.0000 mm;5.8148 mm;0.0000 mm;5.8148 mm;5.8148 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
006;"/Debug FTDI/FTDI_3V3";27;17;24.8800 mm;67.1864 mm;0.0000 mm;92.0664 mm;35.8287 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;31.3576 mm;
007;"/Debug FTDI/FTDI_XO";3;0;0.0000 mm;10.5550 mm;0.0000 mm;10.5550 mm;10.5550 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
008;"/Debug FTDI/FTDI_VCORE";6;3;4.6650 mm;30.6220 mm;0.0000 mm;35.2870 mm;12.9409 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;17.6811 mm;
010;"/FPGA banks HP/VREF";10;6;9.3300 mm;8.7219 mm;103.7540 mm;121.8059 mm;4.2384 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;4.4835 mm;
013;"Net-(C234-Pad1)";4;0;0.0000 mm;21.1179 mm;0.0000 mm;21.1179 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;21.1179 mm;
014;"Net-(D8-Pad2)";2;0;0.0000 mm;2.2650 mm;0.0000 mm;2.2650 mm;2.2650 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
016;"/Supply/spare_local";6;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
017;"DAC_VREF";3;2;3.1100 mm;48.5585 mm;0.0000 mm;51.6685 mm;2.7979 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;45.7606 mm;
018;"/Debug FTDI/FTDI_SDA_OUT";2;0;0.0000 mm;1.8409 mm;0.0000 mm;1.8409 mm;1.8409 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
019;"VDC";21;65;99.5200 mm;13.6254 mm;0.0000 mm;113.1454 mm;9.1083 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;4.5171 mm;
020;"/Supply/QDCDC1_VCC";2;1;1.5550 mm;1.8286 mm;0.0000 mm;3.3836 mm;0.8625 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.9661 mm;
021;"/Supply/QDCDC2_VCC";2;1;1.5550 mm;1.8831 mm;0.0000 mm;3.4381 mm;0.9737 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.9094 mm;
022;"+3V3_AON";23;23;14.2990 mm;222.4715 mm;0.0000 mm;236.7705 mm;14.2935 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;56.8385 mm;0.0000 mm;151.3395 mm;
023;"/Supply/MGTAVCC_local";7;0;0.0000 mm;8.0951 mm;0.0000 mm;8.0951 mm;8.0951 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
024;"/Debug FTDI/FTDI_SDA_IN";3;0;0.0000 mm;2.6140 mm;0.0000 mm;2.6140 mm;2.6140 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
025;"/FPGA bank 14/EMCCLK";2;1;1.5550 mm;3.5635 mm;24.0390 mm;29.1575 mm;0.7064 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;2.8571 mm;
026;"/Debug FTDI/JTAG.TMS";5;3;3.1015 mm;95.9318 mm;12.8910 mm;111.9243 mm;9.2156 mm;0.0000 mm;0.0000 mm;0.0000 mm;20.0024 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;66.7138 mm;0.0000 mm;0.0000 mm;
027;"/Debug FTDI/JTAG.TCK";5;3;3.1015 mm;96.2737 mm;14.6280 mm;114.0032 mm;6.8706 mm;0.0000 mm;0.0000 mm;0.0000 mm;21.2256 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;68.1776 mm;0.0000 mm;0.0000 mm;
028;"/Debug FTDI/JTAG.TDO";5;3;3.1015 mm;101.8522 mm;15.0180 mm;119.9717 mm;6.3563 mm;0.0000 mm;0.0000 mm;0.0000 mm;20.2345 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;75.2614 mm;0.0000 mm;0.0000 mm;
029;"/Debug FTDI/JTAG.TDI";5;3;3.1015 mm;105.9759 mm;16.3380 mm;125.4154 mm;7.0404 mm;0.0000 mm;0.0000 mm;0.0000 mm;17.8917 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;81.0438 mm;0.0000 mm;0.0000 mm;
030;"/DDR5 SODIMM/HSA";2;2;0.5690 mm;14.9756 mm;0.0000 mm;15.5446 mm;2.0889 mm;0.0000 mm;12.8867 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
031;"/DDR5 SODIMM/DDR.SCL";3;2;1.8395 mm;13.6449 mm;0.0000 mm;15.4844 mm;4.3740 mm;0.0000 mm;9.2353 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0356 mm;
032;"/Supply/1V8_local";7;0;0.0000 mm;7.3640 mm;0.0000 mm;7.3640 mm;7.3640 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
033;"/Supply/3V3_local";7;0;0.0000 mm;8.2656 mm;0.0000 mm;8.2656 mm;8.2656 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
034;"/Supply/1V1_local";6;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
035;"/DDR5 SODIMM/DDR.SDA";3;2;0.5690 mm;13.0915 mm;0.0000 mm;13.6605 mm;4.3747 mm;0.0000 mm;8.7169 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
036;"/DDR5 SODIMM/A.DQ0";2;2;0.5690 mm;89.0638 mm;12.5580 mm;102.1908 mm;2.3115 mm;0.0000 mm;86.7523 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
037;"/Supply/1V2_local";6;0;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;0.0000 mm;
